section_slug,date,time_start,time_end,kind,room,proposal_id,description
bofs,7/8/2014,13:30,14:15,bof,Grand Ballroom,,
bofs,7/8/2014,13:30,14:15,bof,Room 203,,
bofs,7/8/2014,13:30,14:15,bof,Room 204,,
bofs,7/8/2014,13:30,14:15,bof,Room 106,,
bofs,7/8/2014,17:30,18:30,bof,Grand Ballroom,,
bofs,7/8/2014,17:30,18:30,bof,Room 203,,
bofs,7/8/2014,17:30,18:30,bof,Room 204,,
bofs,7/8/2014,17:30,18:30,bof,Room 106,,
bofs,7/9/2014,13:30,14:30,bof,Room 106,,
bofs,7/9/2014,13:30,14:30,bof,Room 106,,
bofs,7/9/2014,17:30,18:30,bof,Grand Ballroom,,
bofs,7/9/2014,17:30,18:30,bof,Room 203,,
bofs,7/9/2014,17:30,18:30,bof,Room 204,,
bofs,7/9/2014,17:30,18:30,bof,Room 106,,
bofs,7/10/2014,13:30,14:15,bof,Grand Ballroom,,
bofs,7/10/2014,13:30,14:15,bof,Room 203,,
bofs,7/10/2014,13:30,14:15,bof,Room 204,,
bofs,7/10/2014,17:30,18:30,bof,Grand Ballroom,,
bofs,7/10/2014,17:30,18:30,bof,Room 203,,
bofs,7/10/2014,17:30,18:30,bof,Room 204,,
bofs,7/10/2014,17:30,18:30,bof,Room 106,,
